date,hospital,gender,age_group,review,sentiment
2025-05-04,مركز الشفاء الطبي,ذكر,36-50,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-02-09,مستشفى الرحمة العام,أنثى,26-35,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-05-05,عيادات الهدى التخصصية,أنثى,51+,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2024-12-14,عيادات الهدى التخصصية,ذكر,36-50,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-02-22,مستشفى المدينة الطبية,أنثى,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-02-12,مركز الشفاء الطبي,ذكر,18-25,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2024-12-20,مجمع الأمل الصحي,ذكر,26-35,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-01-21,مستشفى الحياة,أنثى,51+,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-04-10,مستشفى الحياة,أنثى,51+,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-04-11,مركز الشفاء الطبي,ذكر,18-25,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-03-04,مجمع الأمل الصحي,ذكر,51+,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-03-03,مركز الشفاء الطبي,ذكر,51+,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-03-06,مجمع الأمل الصحي,أنثى,36-50,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-02-22,مركز الشفاء الطبي,أنثى,36-50,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-02-10,مجمع الأمل الصحي,أنثى,26-35,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-03-05,عيادات الهدى التخصصية,أنثى,26-35,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-03-16,مجمع الأمل الصحي,ذكر,18-25,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-05-18,مجمع الأمل الصحي,ذكر,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-01-05,مستشفى المدينة الطبية,ذكر,36-50,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-03-22,مجمع الأمل الصحي,أنثى,51+,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-03-10,مستشفى الرحمة العام,ذكر,18-25,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-04-16,عيادات الهدى التخصصية,ذكر,36-50,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
