date,gender,age_group,health_facility,review,sentiment
2024-06-25,ذكر,60+,مستشفى النور,الموعد تأخر وما أحد اعتذر، ما راح أرجع لهم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2025-04-09,ذكر,36-45,مركز الشفاء الطبي,المستشفى نظيف جدًا والتعامل راقي، حسيت كأني في فندق خمس نجوم. جربت أكثر من دكتور لكن هذا كان مختلف.,positive
2024-11-14,أنثى,46-60,مستشفى النور,الخدمة كانت عادية، لا ممتازة ولا سيئة. استمريت على الخطة العلاجية لفترة طويلة.,neutral
2025-02-11,ذكر,36-45,عيادات الهدى,ما حصلت أي فائدة من العلاج، للأسف ما أنصح بالمكان. استمريت على الخطة العلاجية لفترة طويلة.,negative
2025-01-27,أنثى,26-35,مستشفى الحياة,الموعد تأخر وما أحد اعتذر، ما راح أرجع لهم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,negative
2025-05-05,ذكر,26-35,مركز الشفاء الطبي,الخدمة كانت عادية، لا ممتازة ولا سيئة. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2025-02-28,أنثى,46-60,مستشفى السلام,زرت العيادة وما صار شيء مميز، كانت تجربة متوسطة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2024-06-20,ذكر,46-60,مستشفى السلام,الأطباء كانوا متعاونين جدًا وشرحوا لي حالتي بالتفصيل، الحمد لله تحسنت صحتي. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-02-01,أنثى,46-60,مستشفى الحياة,الخدمة كانت ممتازة والدكتور كان في قمة الاحترام والاحترافية، حسيت بتحسن كبير بعد الزيارة. جربت أكثر من دكتور لكن هذا كان مختلف.,positive
2024-07-27,أنثى,60+,عيادات الهدى,العيادة مرتبة والمواعيد كانت دقيقة، أشكرهم على اهتمامهم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,positive
2025-06-03,ذكر,46-60,مركز الأمل,الدكتور ما كان مهتم، حسيت اني مجرد رقم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,negative
2025-03-06,أنثى,36-45,مستشفى السلام,ما حصلت أي فائدة من العلاج، للأسف ما أنصح بالمكان. المكان يحتاج لبعض التعديلات في التنظيم.,negative
2025-03-08,ذكر,26-35,مركز الشفاء الطبي,الموعد كان في وقته بس ما حسيت براحة تامة. استمريت على الخطة العلاجية لفترة طويلة.,neutral
2025-05-09,ذكر,46-60,مستشفى النور,الأطباء كانوا متعاونين جدًا وشرحوا لي حالتي بالتفصيل، الحمد لله تحسنت صحتي. جربت أكثر من دكتور لكن هذا كان مختلف.,positive
2024-06-23,أنثى,18-25,مركز الشفاء الطبي,الأطباء كانوا متعاونين جدًا وشرحوا لي حالتي بالتفصيل، الحمد لله تحسنت صحتي. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2025-04-22,ذكر,46-60,عيادات الهدى,انتظرت وقت طويل وما أحد اهتم فيني، تجربة سيئة. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2025-04-15,ذكر,36-45,عيادات الهدى,الدكتور ما كان مهتم، حسيت اني مجرد رقم. استمريت على الخطة العلاجية لفترة طويلة.,negative
2024-08-12,أنثى,60+,مستشفى الحياة,الخدمة كانت عادية، لا ممتازة ولا سيئة. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2025-01-10,ذكر,26-35,مركز الشفاء الطبي,الدكتور كان واضح لكن ما حسيت بفرق كبير. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2025-02-05,أنثى,46-60,مستشفى الحياة,الدكتور كان واضح لكن ما حسيت بفرق كبير. المكان يحتاج لبعض التعديلات في التنظيم.,neutral
2024-07-02,ذكر,18-25,مستشفى الحياة,الموعد كان في وقته بس ما حسيت براحة تامة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,neutral
2025-02-02,ذكر,36-45,مستشفى الحياة,المستشفى نظيف جدًا والتعامل راقي، حسيت كأني في فندق خمس نجوم. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
2024-06-27,أنثى,36-45,عيادات الهدى,الدكتور كان واضح لكن ما حسيت بفرق كبير. جربت أكثر من دكتور لكن هذا كان مختلف.,neutral
2024-06-22,أنثى,18-25,مستشفى النور,الدكتور ما كان مهتم، حسيت اني مجرد رقم. التجربة كانت غير متوقعة وتعلمت منها الكثير.,negative
2024-11-27,أنثى,46-60,عيادات الهدى,انتظرت وقت طويل وما أحد اهتم فيني، تجربة سيئة. استمريت على الخطة العلاجية لفترة طويلة.,negative
2025-01-16,أنثى,26-35,مستشفى السلام,ما حصلت أي فائدة من العلاج، للأسف ما أنصح بالمكان. جربت أكثر من دكتور لكن هذا كان مختلف.,negative
2025-02-06,أنثى,36-45,مستشفى الحياة,الاستقبال كان سريع والممرضات كانوا بشوشين، تجربة جداً رائعة. توقعت الخدمة تكون أفضل، لكن كانت أقل من المستوى.,positive
