date,gender,age_group,hospital,review,sentiment
2025-01-20,ذكر,26-35,مستشفى الهدى,تحسنت حالتي بشكل ملحوظ بعد الزيارة. تعاملهم يختلف من شخص لشخص.,positive
2024-08-13,أنثى,46-60,مجمع السلام الطبي,الدكتور كان مستعجل وما فسر لي حالتي. تعاملهم يختلف من شخص لشخص.,negative
2024-10-07,ذكر,36-45,مستشفى الشفاء,الدكتور كان مستعجل وما فسر لي حالتي. التجربة كانت مختلفة عن توقعي.,negative
2025-04-14,أنثى,36-45,مركز الحياة الطبي,ما حسيت بأي فرق بعد العلاج. التجربة كانت مختلفة عن توقعي.,negative
2025-02-25,ذكر,26-35,مستشفى الهدى,المكان نظيف والتعامل راقي جدًا. بشكل عام ممكن أرجع لهم.,positive
2025-03-23,ذكر,18-25,مركز الحياة الطبي,المكان نظيف والتعامل راقي جدًا. أتمنى يحسنون من مستوى الخدمات.,positive
2024-07-08,ذكر,46-60,مستشفى الشفاء,استقبلوني بسرعة والممرضات كانوا متعاونين. بشكل عام ممكن أرجع لهم.,positive
2025-04-05,أنثى,60+,مجمع السلام الطبي,الزيارة كانت متوسطة ما فيها شيء مميز. راجعت عندهم أكثر من مرة.,neutral
2025-02-12,ذكر,60+,مجمع السلام الطبي,العيادة مرتبة والمواعيد منظمة. التجربة كانت مختلفة عن توقعي.,positive
2024-10-12,ذكر,36-45,عيادات الأمل,تحسنت حالتي بشكل ملحوظ بعد الزيارة. راجعت عندهم أكثر من مرة.,positive
2024-11-08,أنثى,26-35,مستشفى الشفاء,تحسنت حالتي بشكل ملحوظ بعد الزيارة. التجربة كانت مختلفة عن توقعي.,positive
2025-04-09,أنثى,46-60,مستشفى النور,استقبلوني بسرعة والممرضات كانوا متعاونين. راجعت عندهم أكثر من مرة.,positive
2024-08-01,ذكر,46-60,مستشفى الشفاء,الدكتور كان مستعجل وما فسر لي حالتي. أتمنى يحسنون من مستوى الخدمات.,negative
2024-09-29,أنثى,18-25,مركز الحياة الطبي,المكان غير نظيف والتعامل سيء. راجعت عندهم أكثر من مرة.,negative
2024-09-01,ذكر,46-60,مستشفى الهدى,تحسنت حالتي بشكل ملحوظ بعد الزيارة. بشكل عام ممكن أرجع لهم.,positive
2024-06-19,ذكر,26-35,مركز الحياة الطبي,العيادة مرتبة والمواعيد منظمة. بشكل عام ممكن أرجع لهم.,positive
2025-02-10,ذكر,60+,مستشفى الهدى,الموعد كان في وقته بس ما حصلت فائدة. التجربة كانت مختلفة عن توقعي.,neutral
2024-07-23,أنثى,26-35,مستشفى النور,ما أنصح أحد يراجع عندهم. تعاملهم يختلف من شخص لشخص.,negative
2024-07-13,ذكر,36-45,عيادات الأمل,المكان جيد نوعًا ما. تعاملهم يختلف من شخص لشخص.,neutral
2025-03-29,ذكر,46-60,مستشفى الشفاء,استقبلوني بسرعة والممرضات كانوا متعاونين. أتمنى يحسنون من مستوى الخدمات.,positive
2025-01-20,ذكر,18-25,مستشفى النور,انتظرت كثير ولا أحد عبرني. بشكل عام ممكن أرجع لهم.,negative
2025-05-10,ذكر,46-60,مركز الحياة الطبي,استقبلوني بسرعة والممرضات كانوا متعاونين. راجعت عندهم أكثر من مرة.,positive
2025-05-14,أنثى,36-45,مستشفى النور,العيادة مرتبة والمواعيد منظمة. تعاملهم يختلف من شخص لشخص.,positive
2024-10-09,أنثى,18-25,مستشفى النور,الموعد كان في وقته بس ما حصلت فائدة. بشكل عام ممكن أرجع لهم.,neutral
2025-03-16,أنثى,36-45,مجمع السلام الطبي,العيادة مرتبة والمواعيد منظمة. التجربة كانت مختلفة عن توقعي.,positive
2025-03-04,ذكر,46-60,مستشفى الشفاء,المكان غير نظيف والتعامل سيء. بشكل عام ممكن أرجع لهم.,negative
2024-06-15,أنثى,26-35,مجمع السلام الطبي,المكان غير نظيف والتعامل سيء. تعاملهم يختلف من شخص لشخص.,negative
2025-01-31,أنثى,60+,مستشفى النور,استقبلوني بسرعة والممرضات كانوا متعاونين. راجعت عندهم أكثر من مرة.,positive
2024-10-23,أنثى,26-35,مركز الحياة الطبي,المكان غير نظيف والتعامل سيء. راجعت عندهم أكثر من مرة.,negative
2025-05-14,ذكر,26-35,مستشفى الهدى,الخدمة عادية ما كانت ممتازة ولا سيئة. التجربة كانت مختلفة عن توقعي.,neutral
2024-09-06,أنثى,46-60,مجمع السلام الطبي,المكان جيد نوعًا ما. التجربة كانت مختلفة عن توقعي.,neutral
2025-02-03,ذكر,46-60,مستشفى الهدى,الدكتور شرح لي بس ما حسيت براحة. أتمنى يحسنون من مستوى الخدمات.,neutral
2024-09-30,ذكر,36-45,مركز الحياة الطبي,الموعد كان في وقته بس ما حصلت فائدة. التجربة كانت مختلفة عن توقعي.,neutral
2024-11-10,ذكر,18-25,مركز الحياة الطبي,ما أنصح أحد يراجع عندهم. راجعت عندهم أكثر من مرة.,negative
2025-03-10,أنثى,18-25,مستشفى الهدى,استقبلوني بسرعة والممرضات كانوا متعاونين. أتمنى يحسنون من مستوى الخدمات.,positive
2025-04-10,ذكر,46-60,عيادات الأمل,انتظرت كثير ولا أحد عبرني. بشكل عام ممكن أرجع لهم.,negative
2025-04-24,ذكر,26-35,مستشفى النور,المكان جيد نوعًا ما. تعاملهم يختلف من شخص لشخص.,neutral
2024-10-17,ذكر,18-25,مركز الحياة الطبي,الخدمة عادية ما كانت ممتازة ولا سيئة. تعاملهم يختلف من شخص لشخص.,neutral
2024-10-31,أنثى,26-35,مستشفى الهدى,ما حسيت بأي فرق بعد العلاج. أتمنى يحسنون من مستوى الخدمات.,negative
2025-03-16,ذكر,18-25,مستشفى النور,الخدمة عادية ما كانت ممتازة ولا سيئة. تعاملهم يختلف من شخص لشخص.,neutral
2025-02-20,ذكر,46-60,مركز الحياة الطبي,تحسنت حالتي بشكل ملحوظ بعد الزيارة. تعاملهم يختلف من شخص لشخص.,positive
2024-09-13,أنثى,46-60,مستشفى النور,المكان غير نظيف والتعامل سيء. أتمنى يحسنون من مستوى الخدمات.,negative
2024-08-17,ذكر,36-45,مجمع السلام الطبي,المكان نظيف والتعامل راقي جدًا. تعاملهم يختلف من شخص لشخص.,positive
2024-06-18,أنثى,46-60,مستشفى الهدى,ما حسيت بأي فرق بعد العلاج. بشكل عام ممكن أرجع لهم.,negative
2024-12-25,ذكر,26-35,مستشفى النور,الخدمة ممتازة والدكتور كان محترم جدًا. بشكل عام ممكن أرجع لهم.,positive
2025-02-02,ذكر,26-35,مركز الحياة الطبي,الخدمة ممتازة والدكتور كان محترم جدًا. تعاملهم يختلف من شخص لشخص.,positive
2024-06-20,ذكر,26-35,مركز الحياة الطبي,العيادة مرتبة والمواعيد منظمة. بشكل عام ممكن أرجع لهم.,positive
2025-02-19,ذكر,46-60,مستشفى النور,المكان نظيف والتعامل راقي جدًا. تعاملهم يختلف من شخص لشخص.,positive
2025-01-11,ذكر,60+,عيادات الأمل,المكان غير نظيف والتعامل سيء. راجعت عندهم أكثر من مرة.,negative
2025-05-25,ذكر,26-35,عيادات الأمل,الخدمة عادية ما كانت ممتازة ولا سيئة. بشكل عام ممكن أرجع لهم.,neutral
2024-10-23,أنثى,60+,عيادات الأمل,العيادة مرتبة والمواعيد منظمة. تعاملهم يختلف من شخص لشخص.,positive
2025-04-29,أنثى,26-35,مستشفى النور,المكان جيد نوعًا ما. التجربة كانت مختلفة عن توقعي.,neutral
2024-06-14,أنثى,36-45,مستشفى الشفاء,استقبلوني بسرعة والممرضات كانوا متعاونين. راجعت عندهم أكثر من مرة.,positive
2024-08-30,ذكر,36-45,مستشفى الشفاء,المكان جيد نوعًا ما. راجعت عندهم أكثر من مرة.,neutral
2024-07-07,ذكر,18-25,مستشفى الشفاء,انتظرت كثير ولا أحد عبرني. راجعت عندهم أكثر من مرة.,negative
2025-02-22,ذكر,60+,مستشفى الشفاء,المكان نظيف والتعامل راقي جدًا. بشكل عام ممكن أرجع لهم.,positive
2024-07-27,ذكر,36-45,مجمع السلام الطبي,الموعد كان في وقته بس ما حصلت فائدة. التجربة كانت مختلفة عن توقعي.,neutral
2025-05-06,ذكر,26-35,مستشفى الشفاء,المكان جيد نوعًا ما. بشكل عام ممكن أرجع لهم.,neutral
2024-09-25,ذكر,36-45,عيادات الأمل,ما أنصح أحد يراجع عندهم. تعاملهم يختلف من شخص لشخص.,negative
2024-12-07,أنثى,18-25,مستشفى الهدى,الدكتور كان مستعجل وما فسر لي حالتي. راجعت عندهم أكثر من مرة.,negative
2024-12-07,ذكر,36-45,مستشفى الشفاء,ما أنصح أحد يراجع عندهم. تعاملهم يختلف من شخص لشخص.,negative
2025-04-07,أنثى,36-45,مجمع السلام الطبي,استقبلوني بسرعة والممرضات كانوا متعاونين. بشكل عام ممكن أرجع لهم.,positive
2024-12-10,أنثى,46-60,مستشفى الشفاء,الدكتور كان مستعجل وما فسر لي حالتي. أتمنى يحسنون من مستوى الخدمات.,negative
2024-10-16,ذكر,18-25,مجمع السلام الطبي,تحسنت حالتي بشكل ملحوظ بعد الزيارة. أتمنى يحسنون من مستوى الخدمات.,positive
