date,gender,age_group,hospital,review,sentiment
2025-03-16,ذكر,60+,عيادات الأمل,الدواء ما ناسبني، ما راح أرجع لهم، المكان مزدحم جدًا، الخدمة ضعيفة، الشرح غير واضح، ما حسيت بتحسن، تأخير طويل في الانتظار.,negative
2025-01-15,ذكر,26-35,عيادات الأمل,الدواء ما ناسبني، ما راح أرجع لهم، الخدمة ضعيفة، الدكتور مستعجل، ما حسيت بتحسن، المكان مزدحم جدًا، تأخير طويل في الانتظار، الشرح غير واضح.,negative
2025-04-01,ذكر,26-35,مستشفى الشفاء,الشرح كان واضح، استقبلوني بابتسامة، الاستقبال كان ممتاز، الموظفين محترمين جدًا، أوصي بالمكان، الدكتور فهم حالتي بسرعة، الموعد كان دقيق، المكان نظيف ومرتب.,positive
2025-01-07,ذكر,36-45,مستشفى النور,الموعد كان دقيق، الشرح كان واضح، استقبلوني بابتسامة، المكان نظيف ومرتب، الدكتور فهم حالتي بسرعة، الاستقبال كان ممتاز.,positive
2025-02-13,أنثى,60+,مستشفى الشفاء,المكان مزدحم جدًا، الخدمة ضعيفة، ما راح أرجع لهم، الدواء ما ناسبني، ما حسيت بتحسن، الشرح غير واضح، الدكتور مستعجل.,negative
2025-01-31,أنثى,46-60,مستشفى الشفاء,المكان نظيف ومرتب، الموظفين محترمين جدًا، الدواء أعطى مفعول جيد، أوصي بالمكان.,positive
2025-02-28,أنثى,18-25,مستشفى الهدى,ما حسيت بتحسن، الخدمة ضعيفة، تأخير طويل في الانتظار، الدواء ما ناسبني، الدكتور مستعجل، الاستقبال سيء، الشرح غير واضح.,negative
2024-12-23,أنثى,26-35,مستشفى النور,الدكتور فهم حالتي بسرعة، أوصي بالمكان، الاستقبال كان ممتاز، العناية ممتازة، الموعد كان دقيق.,positive
2024-07-11,ذكر,18-25,مجمع السلام الطبي,الدكتور مستعجل، المكان مزدحم جدًا، ما حسيت بتحسن، ما أحد رد علي، تأخير طويل في الانتظار.,negative
2024-11-25,ذكر,36-45,عيادات الأمل,الاستقبال سيء، الدكتور مستعجل، تأخير طويل في الانتظار، المكان مزدحم جدًا، ما راح أرجع لهم، ما أحد رد علي.,negative
2024-07-23,أنثى,18-25,عيادات الأمل,الدكتور مستعجل، الشرح غير واضح، الاستقبال سيء، ما حسيت بتحسن.,negative
2024-08-13,ذكر,60+,مركز الحياة الطبي,الشرح غير واضح، الدكتور مستعجل، تأخير طويل في الانتظار، ما أحد رد علي، المكان مزدحم جدًا، الخدمة ضعيفة، ما حسيت بتحسن، ما راح أرجع لهم.,negative
2025-03-30,أنثى,46-60,مستشفى النور,الاستقبال كان ممتاز، الدواء أعطى مفعول جيد، أوصي بالمكان، الدكتور فهم حالتي بسرعة، العناية ممتازة، الموعد كان دقيق، الشرح كان واضح.,positive
2025-02-20,ذكر,36-45,مستشفى النور,الموظفين محترمين جدًا، الدواء أعطى مفعول جيد، الموعد كان دقيق، الاستقبال كان ممتاز، المكان نظيف ومرتب، استقبلوني بابتسامة، الشرح كان واضح، الدكتور فهم حالتي بسرعة.,positive
2024-10-21,أنثى,46-60,مجمع السلام الطبي,الاستقبال كان ممتاز، الدكتور فهم حالتي بسرعة، المكان نظيف ومرتب، العناية ممتازة، الموظفين محترمين جدًا، الشرح كان واضح، الدواء أعطى مفعول جيد.,positive
2024-09-11,ذكر,26-35,مستشفى الشفاء,ما حسيت بتحسن، ما راح أرجع لهم، تأخير طويل في الانتظار، الدواء ما ناسبني، الخدمة ضعيفة، المكان مزدحم جدًا.,negative
2025-01-14,أنثى,36-45,مجمع السلام الطبي,الاستقبال كان ممتاز، العناية ممتازة، الشرح كان واضح، أوصي بالمكان، الدواء أعطى مفعول جيد، الموعد كان دقيق، المكان نظيف ومرتب.,positive
2025-05-13,أنثى,26-35,مركز الحياة الطبي,أوصي بالمكان، المكان نظيف ومرتب، العناية ممتازة، استقبلوني بابتسامة، الاستقبال كان ممتاز، الدكتور فهم حالتي بسرعة.,positive
2025-05-03,أنثى,36-45,مستشفى النور,الاستقبال كان ممتاز، العناية ممتازة، الدكتور فهم حالتي بسرعة، المكان نظيف ومرتب، الدواء أعطى مفعول جيد، أوصي بالمكان، الموعد كان دقيق، استقبلوني بابتسامة.,positive
2025-03-03,أنثى,18-25,مركز الحياة الطبي,ما أحد رد علي، المكان مزدحم جدًا، ما حسيت بتحسن، الخدمة ضعيفة، تأخير طويل في الانتظار، ما راح أرجع لهم، الدكتور مستعجل.,negative
